Time,Event,Jobs,Nodes
0,START,J0,"[N0, N1, N2, N3, N4, N5, N6, N7]"
5499,START,J1,"[N8, N9, N10, N11, N12, N13, N14, N15]"
6599,START,J2,"[N16, N17, N18, N19, N20, N21, N22, N23]"
16600,START,J3,"[N24, N25, N26, N27]"
35199,START,J4,"[N0, N1, N2, N3, N4, N5, N6, N7]"
35220,START,J5,"[N28, N29, N30, N31]"
42197,START,J6,"[N8, N9, N10, N11, N12, N13, N14, N15]"
43081,START,J7,"[N16, N17]"
43090,START,J8,[N18]
43095,START,J9,"[N19, N20]"
45802,START,J10,[N18]
57046,START,J11,"[N18, N21, N22, N23, N24, N25, N26, N27]"
63869,START,J12,"[N16, N17, N19, N20, N28, N29, N30, N31]"
70933,START,J13,"[N0, N1, N2, N3]"
71905,START,J14,"[N4, N5, N6, N7]"
79007,START,J15,"[N8, N9, N10, N11, N12, N13, N14, N15]"
93918,START,J16,"[N18, N21, N22, N23]"
93934,START,J17,"[N24, N25]"
93954,START,J18,[N26]
94054,START,J19,"[N26, N27]"
96848,START,J20,"[N0, N1, N2, N3]"
100142,START,J21,"[N16, N17]"
107147,START,J22,"[N4, N5]"
111267,START,J23,"[N6, N7, N19, N20, N28, N29, N30, N31]"
114128,START,J24,"[N16, N17]"
149051,START,J25,"[N0, N1, N2, N3]"
149431,START,J26,[N4]
159850,START,J27,"[N4, N5, N6, N7, N8, N9, N10, N11]"
166593,START,J28,"[N12, N13, N14, N15, N16, N17, N18, N19]"
167296,START,J29,"[N20, N21, N22, N23]"
173023,START,J30,"[N24, N25, N26, N27]"
182464,START,J31,"[N0, N1, N2, N3, N28, N29, N30, N31]"
196903,START,J32,"[N20, N21, N22, N23]"
197384,START,J33,"[N4, N5, N6, N7, N8, N9, N10, N11]"
203030,START,J34,"[N12, N13, N14, N15, N16, N17, N18, N19]"
203984,START,J35,"[N24, N25, N26, N27]"
218252,START,J36,"[N0, N1, N2, N3, N28, N29, N30, N31]"
227062,START,J37,[N20]
227162,START,J38,"[N20, N21, N22, N23]"
233942,START,J39,"[N4, N5, N6, N7, N8, N9, N10, N11]"
234000,START,J40,[N24]
234017,START,J41,"[N25, N26]"
247697,START,J42,"[N12, N13, N14, N15]"
252616,START,J43,"[N16, N17, N18, N19, N24, N25, N26, N27]"
254374,START,J44,"[N0, N1, N2, N3, N28, N29, N30, N31]"
257414,START,J45,"[N20, N21, N22, N23]"
271026,START,J46,"[N4, N5, N6, N7, N8, N9, N10, N11]"
287477,START,J47,"[N12, N13, N14, N15, N20, N21, N22, N23]"
288718,START,J48,"[N16, N17, N18, N19, N24, N25, N26, N27]"
294702,START,J49,"[N0, N1, N2, N3, N28, N29, N30, N31]"
311436,START,J50,"[N4, N5, N6, N7]"
324034,START,J51,"[N8, N9, N10, N11, N12, N13, N14, N15]"
325485,START,J52,"[N16, N17, N18, N19, N20, N21, N22, N23]"
330172,START,J53,"[N0, N1, N2, N3, N24, N25, N26, N27]"
342047,START,J54,"[N4, N5, N6, N7, N28, N29, N30, N31]"
360050,START,J55,"[N16, N17, N18, N19, N20, N21, N22, N23]"
360358,START,J56,"[N8, N9]"
366150,START,J57,"[N0, N1, N2, N3, N10, N11, N12, N13]"
366180,START,J58,[N14]
366201,START,J59,"[N15, N24, N25, N26]"
378689,START,J60,"[N4, N5, N6, N7, N14, N27, N28, N29]"
381951,START,J61,"[N8, N9, N30, N31]"
395335,START,J62,"[N15, N24, N25, N26]"
396844,START,J63,"[N16, N17]"
396863,START,J64,[N18]
402916,START,J65,"[N0, N1, N2, N3, N10, N11, N12, N13]"
405703,START,J66,"[N18, N19, N20, N21]"
407780,START,J67,"[N8, N9, N22, N23]"
431221,START,J68,"[N4, N5, N6, N7, N14, N15, N16, N17]"
431434,START,J69,"[N24, N25, N26, N27, N28, N29, N30, N31]"
437847,START,J70,"[N8, N9, N18, N19, N20, N21, N22, N23]"
439110,START,J71,"[N0, N1, N2, N3]"
467422,START,J72,"[N4, N5, N6, N7, N10, N11, N12, N13]"
468106,START,J73,"[N14, N15, N16, N17, N24, N25, N26, N27]"
469158,START,J74,"[N0, N1, N2, N3, N28, N29, N30, N31]"
473798,START,J75,"[N8, N9, N18, N19, N20, N21, N22, N23]"
502967,START,J76,"[N14, N15, N16, N17, N24, N25, N26, N27]"
503797,START,J77,"[N4, N5, N6, N7, N10, N11, N12, N13]"
504315,START,J78,"[N0, N1, N2, N3, N28, N29, N30, N31]"
510284,START,J79,"[N8, N9, N18, N19]"
538380,START,J80,"[N8, N9, N18, N19, N20, N21, N22, N23]"
539175,START,J81,"[N14, N15, N16, N17]"
539885,START,J82,"[N0, N1, N2, N3, N24, N25, N26, N27]"
540813,START,J83,"[N4, N5, N6, N7, N10, N11, N12, N13]"
567969,START,J84,"[N14, N15, N16, N17, N28, N29, N30, N31]"
574545,START,J85,"[N8, N9, N18, N19, N20, N21, N22, N23]"
575375,START,J86,"[N0, N1, N2, N3, N24, N25, N26, N27]"
576409,START,J87,"[N4, N5, N6, N7, N10, N11, N12, N13]"
603823,START,J88,"[N14, N15, N16, N17, N28, N29, N30, N31]"
610511,START,J89,"[N8, N9, N18, N19, N20, N21, N22, N23]"
612630,START,J90,[N4]
612730,START,J91,"[N4, N5, N6, N7, N10, N11, N12, N13]"
613149,START,J92,"[N0, N1, N2, N3, N24, N25, N26, N27]"
640036,START,J93,"[N14, N15, N16, N17]"
640080,START,J94,"[N28, N29, N30, N31]"
647359,START,J95,[N8]
647459,START,J96,"[N8, N9, N18, N19, N20, N21, N22, N23]"
649804,START,J97,"[N0, N1, N2, N3, N24, N25, N26, N27]"
651823,START,J98,"[N4, N5, N6, N7]"
651840,START,J99,"[N10, N11]"
669331,START,J100,"[N12, N13, N14, N15, N16, N17, N28, N29]"
676805,START,J101,"[N4, N5, N6, N7, N10, N11, N30, N31]"
684484,START,J102,"[N8, N9, N18, N19, N20, N21, N22, N23]"
685898,START,J103,"[N0, N1]"
702922,START,J104,"[N0, N1, N2, N3, N24, N25, N26, N27]"
706026,START,J105,"[N12, N13, N14, N15, N16, N17, N28, N29]"
713491,START,J106,"[N4, N5, N6, N7]"
713510,START,J107,"[N10, N11]"
720121,START,J108,"[N8, N9, N18, N19, N20, N21, N22, N23]"
720171,START,J109,"[N30, N31]"
735208,START,J110,"[N10, N11, N30, N31]"
739007,START,J111,"[N0, N1, N2, N3]"
739020,START,J112,"[N24, N25, N26, N27]"
741574,START,J113,"[N12, N13, N14, N15, N16, N17, N28, N29]"
755907,START,J114,"[N4, N5, N6, N7, N8, N9, N18, N19]"
764781,START,J115,"[N10, N11, N20, N21, N22, N23, N30, N31]"
767446,START,J116,"[N24, N25, N26, N27]"
767474,START,J117,"[N0, N1, N2, N3]"
778314,START,J118,[N12]
778414,START,J119,"[N12, N13, N14, N15, N16, N17, N28, N29]"
793004,START,J120,"[N4, N5, N6, N7, N8, N9, N18, N19]"
796685,START,J121,"[N0, N1, N2, N3, N24, N25, N26, N27]"
801797,START,J122,"[N10, N11, N20, N21, N22, N23, N30, N31]"
814494,START,J123,[N12]
814750,START,J124,"[N12, N13, N14, N15, N16, N17, N28, N29]"
831090,START,J125,"[N4, N5, N6, N7]"
832945,START,J126,"[N0, N1, N2, N3, N8, N9, N18, N19]"
832956,START,J127,"[N24, N25]"
837421,START,J128,"[N10, N11, N20, N21, N22, N23, N26, N27]"
852115,START,J129,"[N12, N13, N14, N15, N16, N17, N24, N25]"
859915,START,J130,"[N4, N5, N6, N7, N28, N29, N30, N31]"
870651,START,J131,"[N0, N1, N2, N3, N8, N9, N18, N19]"
873268,START,J132,"[N10, N11, N20, N21]"
889149,START,J133,"[N12, N13, N14, N15, N16, N17, N22, N23]"
889162,START,J134,"[N24, N25, N26, N27]"
897764,START,J135,[N4]
897864,START,J136,"[N4, N5, N6, N7, N28, N29, N30, N31]"
900635,START,J137,"[N10, N11, N20, N21]"
908131,START,J138,"[N0, N1, N2, N3]"
908159,START,J139,"[N8, N9, N18, N19]"
924317,START,J140,"[N12, N13, N14, N15, N16, N17, N22, N23]"
929198,START,J141,"[N10, N11, N20, N21, N24, N25, N26, N27]"
934054,START,J142,"[N4, N5]"
936246,START,J143,"[N6, N7, N8, N9, N18, N19, N28, N29]"
937010,START,J144,"[N0, N1, N2, N3]"
954537,START,J145,"[N4, N5, N30, N31]"
960605,START,J146,[N12]
960641,START,J147,"[N13, N14]"
960651,START,J148,"[N15, N16, N17, N22]"
964386,START,J149,"[N10, N11, N12, N20, N21, N23, N24, N25]"
972390,START,J150,"[N0, N1, N2, N3, N6, N7, N8, N9]"
980517,START,J151,"[N13, N14, N18, N19, N26, N27, N28, N29]"
986344,START,J152,"[N4, N5, N15, N16, N17, N22, N30, N31]"
999467,START,J153,"[N10, N11, N12, N20, N21, N23, N24, N25]"
1009039,START,J154,"[N0, N1, N2, N3]"
1009070,START,J155,[N6]
1017825,START,J156,"[N6, N7, N8, N9, N13, N14, N18, N19]"
1017839,START,J157,"[N26, N27, N28, N29]"
1022601,START,J158,"[N4, N5, N15, N16]"
1035565,START,J159,"[N10, N11, N12, N17, N20, N21, N22, N23]"
1035599,START,J160,"[N24, N25]"
1046976,START,J161,"[N0, N1, N2, N3, N26, N27, N28, N29]"
1053693,START,J162,"[N6, N7, N8, N9, N13, N14, N18, N19]"
1053719,START,J163,[N24]
1054172,START,J164,"[N4, N5, N15, N16, N24, N25, N30, N31]"
1072023,START,J165,"[N10, N11, N12, N17, N20, N21, N22, N23]"
1084733,START,J166,"[N0, N1, N2, N3, N26, N27, N28, N29]"
1088865,START,J167,[N4]
1088965,START,J168,"[N4, N5, N15, N16, N24, N25, N30, N31]"
1090905,START,J169,"[N6, N7, N8, N9, N13, N14, N18, N19]"
1107829,START,J170,"[N10, N11, N12, N17, N20, N21, N22, N23]"
1121865,START,J171,[N0]
1124505,START,J172,"[N0, N1, N2, N3, N26, N27, N28, N29]"
1126879,START,J173,"[N6, N7, N8, N9, N13, N14, N18, N19]"
1126880,START,J174,"[N4, N5, N15, N16]"
1144212,START,J175,"[N10, N11, N12, N17, N20, N21, N22, N23]"
1144259,START,J176,[N24]
1156436,START,J177,"[N4, N5, N15, N16, N24, N25, N30, N31]"
1161458,START,J178,"[N0, N1, N2, N3, N26, N27, N28, N29]"
1162872,START,J179,"[N6, N7, N8, N9]"
1162919,START,J180,"[N13, N14]"
1182291,START,J181,"[N10, N11, N12, N17, N18, N19, N20, N21]"
1189681,START,J182,"[N6, N7, N8, N9, N13, N14, N22, N23]"
1193543,START,J183,"[N4, N5, N15, N16]"
1198040,START,J184,"[N0, N1, N2, N3, N24, N25, N26, N27]"
1218566,START,J185,"[N10, N11, N12, N17, N18, N19, N20, N21]"
1224797,START,J186,"[N4, N5, N15, N16, N28, N29, N30, N31]"
1226793,START,J187,"[N6, N7, N8, N9, N13, N14, N22, N23]"
1233147,START,J188,"[N0, N1, N2, N3, N24, N25, N26, N27]"
1254588,START,J189,"[N10, N11, N12, N17]"
1254599,START,J190,"[N18, N19, N20, N21]"
1261740,START,J191,[N4]
1261784,START,J192,"[N5, N15]"
1264128,START,J193,"[N4, N6, N7, N8, N9, N13, N14, N16]"
1270078,START,J194,"[N0, N1, N2, N3, N22, N23, N24, N25]"
1280368,START,J195,"[N5, N15, N26, N27, N28, N29, N30, N31]"
1285786,START,J196,"[N10, N11, N12, N17, N18, N19, N20, N21]"
1300527,START,J197,"[N4, N6, N7, N8, N9, N13, N14, N16]"
1305625,START,J198,"[N0, N1, N2, N3]"
1305659,START,J199,"[N22, N23, N24, N25]"
1315383,START,J200,"[N5, N15]"
1322657,START,J201,"[N10, N11, N12, N17, N18, N19, N20, N21]"
1322685,START,J202,"[N26, N27, N28, N29]"
1334288,START,J203,"[N0, N1, N2, N3, N5, N15, N30, N31]"
1335903,START,J204,"[N22, N23, N24, N25]"
1336607,START,J205,"[N4, N6, N7, N8, N9, N13, N14, N16]"
1350394,START,J206,"[N26, N27, N28, N29]"
1359431,START,J207,"[N10, N11, N12, N17, N18, N19, N20, N21]"
1371421,START,J208,"[N0, N1, N2, N3, N5, N15, N22, N23]"
1371463,START,J209,"[N24, N25, N30, N31]"
1371732,START,J210,"[N4, N6, N7, N8, N9, N13, N14, N16]"
1378723,START,J211,"[N26, N27, N28, N29]"
1395751,START,J212,"[N10, N11]"
1398570,START,J213,"[N12, N17, N18, N19, N20, N21, N24, N25]"
1408741,START,J214,"[N4, N6, N7, N8, N9, N13, N14, N16]"
1409157,START,J215,"[N0, N1, N2, N3, N5, N15, N22, N23]"
1409159,START,J216,"[N26, N27, N28, N29]"
1411820,START,J217,"[N10, N11, N30, N31]"
1432807,START,J218,"[N12, N17]"
1432859,START,J219,"[N18, N19, N20, N21]"
1432881,START,J220,[N24]
1441254,START,J221,"[N10, N11, N24, N25, N26, N27, N28, N29]"
1441259,START,J222,[N30]
1444312,START,J223,"[N4, N6, N7, N8, N9, N13, N14, N16]"
1444930,START,J224,"[N0, N1, N2, N3]"
1451838,START,J225,"[N5, N12, N15, N17, N22, N23, N30, N31]"
1472826,START,J226,"[N0, N1, N2, N3, N18, N19, N20, N21]"
1478113,START,J227,"[N10, N11, N24, N25]"
1478139,START,J228,[N26]
1480421,START,J229,"[N4, N6, N7, N8, N9, N13, N14, N16]"
1480439,START,J230,"[N27, N28]"
1488224,START,J231,"[N5, N12, N15, N17, N22, N23, N26, N29]"
1504092,START,J232,"[N10, N11, N24, N25, N27, N28, N30, N31]"
1510314,START,J233,"[N0, N1]"
1515913,START,J234,"[N2, N3, N4, N6, N7, N8, N9, N13]"
1524194,START,J235,"[N5, N12, N14, N15, N16, N17, N18, N19]"
1524240,START,J236,[N20]
1528020,START,J237,"[N0, N1, N20, N21, N22, N23, N26, N29]"
1539706,START,J238,"[N10, N11, N24, N25]"
1539720,START,J239,"[N27, N28, N30, N31]"
1552221,START,J240,"[N2, N3, N4, N6]"
1561524,START,J241,"[N5, N7, N8, N9, N12, N13, N14, N15]"
1561539,START,J242,"[N16, N17, N18, N19]"
1564981,START,J243,"[N0, N1, N20, N21]"
1565573,START,J244,"[N10, N11, N22, N23, N24, N25, N26, N29]"
1581206,START,J245,"[N2, N3, N4, N6, N27, N28, N30, N31]"
1589292,START,J246,"[N16, N17]"
1598486,START,J247,"[N0, N1, N5, N7, N8, N9, N12, N13]"
1602477,START,J248,"[N10, N11, N14, N15, N18, N19, N20, N21]"
1602479,START,J249,"[N22, N23, N24, N25]"
1613458,START,J250,"[N16, N17, N26, N29]"
1617236,START,J251,"[N2, N3, N4, N6]"
1631731,START,J252,"[N22, N23, N24, N25, N27, N28, N30, N31]"
1634892,START,J253,"[N0, N1, N5, N7, N8, N9, N12, N13]"
1637879,START,J254,"[N10, N11, N14, N15, N18, N19, N20, N21]"
1640313,START,J255,"[N16, N17, N26, N29]"
1668617,START,J256,"[N2, N3, N4, N6, N22, N23, N24, N25]"
1670477,START,J257,"[N16, N17, N26, N27, N28, N29, N30, N31]"
1671850,START,J258,"[N0, N1, N5, N7, N8, N9, N12, N13]"
1673841,START,J259,"[N10, N11, N14, N15, N18, N19, N20, N21]"
1704479,START,J260,"[N2, N3, N4, N6]"
1704480,START,J261,"[N22, N23]"
1707645,START,J262,"[N16, N17, N24, N25, N26, N27, N28, N29]"
1707820,START,J263,"[N0, N1, N5, N7]"
