Time,Node,State,Running jobs,Expected jobs
0,Syn_0,free,none,none
0,Syn_1,free,none,none
0,Syn_10,free,none,none
0,Syn_11,free,none,none
0,Syn_12,free,none,none
0,Syn_13,free,none,none
0,Syn_14,free,none,none
0,Syn_15,free,none,none
0,Syn_16,free,none,none
0,Syn_17,free,none,none
0,Syn_18,free,none,none
0,Syn_19,free,none,none
0,Syn_2,free,none,none
0,Syn_20,free,none,none
0,Syn_21,free,none,none
0,Syn_22,free,none,none
0,Syn_23,free,none,none
0,Syn_24,free,none,none
0,Syn_25,free,none,none
0,Syn_26,free,none,none
0,Syn_27,free,none,none
0,Syn_28,free,none,none
0,Syn_29,free,none,none
0,Syn_3,free,none,none
0,Syn_30,free,none,none
0,Syn_31,free,none,none
0,Syn_4,free,none,none
0,Syn_5,free,none,none
0,Syn_6,free,none,none
0,Syn_7,free,none,none
0,Syn_8,free,none,none
0,Syn_9,free,none,none
0,Syn_0,allocated,0,none
0,Syn_1,allocated,0,none
0,Syn_10,allocated,0,none
0,Syn_11,allocated,0,none
0,Syn_12,allocated,0,none
0,Syn_13,allocated,0,none
0,Syn_14,allocated,0,none
0,Syn_15,allocated,0,none
5499,Syn_16,allocated,1,none
5499,Syn_17,allocated,1,none
5499,Syn_18,allocated,1,none
5499,Syn_19,allocated,1,none
5499,Syn_2,allocated,1,none
5499,Syn_20,allocated,1,none
5499,Syn_21,allocated,1,none
5499,Syn_22,allocated,1,none
6599,Syn_23,allocated,2,none
6599,Syn_24,allocated,2,none
6599,Syn_25,allocated,2,none
6599,Syn_26,allocated,2,none
6599,Syn_27,allocated,2,none
6599,Syn_28,allocated,2,none
6599,Syn_29,allocated,2,none
6599,Syn_3,allocated,2,none
16600,Syn_30,allocated,3,none
16600,Syn_31,allocated,3,none
16600,Syn_4,allocated,3,none
16600,Syn_5,allocated,3,none
35199.4,Syn_0,free,none,none
35199.4,Syn_1,free,none,none
35199.4,Syn_10,free,none,none
35199.4,Syn_11,free,none,none
35199.4,Syn_12,free,none,none
35199.4,Syn_13,free,none,none
35199.4,Syn_14,free,none,none
35199.4,Syn_15,free,none,none
35199.4,Syn_0,allocated,4,none
35199.4,Syn_1,allocated,4,none
35199.4,Syn_10,allocated,4,none
35199.4,Syn_11,allocated,4,none
35199.4,Syn_12,allocated,4,none
35199.4,Syn_13,allocated,4,none
35199.4,Syn_14,allocated,4,none
35199.4,Syn_15,allocated,4,none
35220,Syn_6,allocated,5,none
35220,Syn_7,allocated,5,none
35220,Syn_8,allocated,5,none
35220,Syn_9,allocated,5,none
42197.9,Syn_16,free,none,none
